"Model name","ParserRule count","EnumRule count","TerminalRule count","TypeRef count","Keyword count","Alternatives count","Group count","Assignment count","Action count","Diagnostic count"
"WML.xtext","18","0","18","36","114","28","36","26","0","1"
"Sculptordsl.xtext","49","5","6","92","572","83","284","421","0","33"
"PP2.xtext","94","0","15","155","259","50","139","123","46","47"
"PP1.xtext","94","0","15","155","259","50","139","123","46","47"
"RIMDsl.xtext","42","0","2","67","151","26","69","108","5","24"
"Xturtle.xtext","27","0","15","53","122","26","42","29","7","12"
"Antlr4.xtext","70","1","26","109","172","44","87","161","6","13"
"Yang.xtext","110","0","5","118","337","119","148","143","0","4"
"ClassDiagram.xtext","18","4","8","37","106","27","36","41","1","8"
"WollokDsl.xtext","84","0","9","141","254","64","174","125","35","49"
"Module2.xtext","58","0","6","72","146","23","56","74","7","9"
