"Model name","EENum count","EClass count","EDataType count","EMFCompare matchCount","Diagnostic count"
"link.pp","0","5","6","8","0"
"x-example42.pp","0","4","2","3","0"
"config_file.pp","0","8","14","14","0"
"redhat.pp","0","11","10","14","0"
"not ok manifest.pp","0","11","11","19","0"
"asecondfile.pp","0","14","13","18","0"
"server.pp","0","4","5","6","0"
"bclass.pp","0","1","1","2","0"
"backup.pp","0","9","8","14","0"
"params.pp","0","4","2","3","0"
"not_ok_manifest.pp","0","11","11","19","0"
"vhost.pp","0","16","18","22","0"
"x-absent.pp","0","9","6","11","0"
"concatenated_file.pp","0","10","20","16","0"
"cclass.pp","0","1","1","2","0"
"monitor.pp","0","11","11","19","0"
"config.pp","0","21","44","43","0"
"firewall.pp","0","11","11","19","0"
"010_basic.pp","0","6","6","10","0"
"disableboot.pp","0","9","5","10","0"
"modules_file.pp","0","9","18","17","0"
"libdir.pp","0","8","7","11","0"
"aclass.pp","0","4","6","7","0"
"modules_dir.pp","0","7","11","10","0"
"ambigA.pp","0","1","4","5","0"
"apache.pp","0","1","2","3","0"
"example42.pp","0","4","2","3","0"
"line.pp","0","12","24","26","0"
"absent.pp","0","9","6","11","0"
"conf.pp","0","10","11","17","0"
"replaceline.pp","0","27","26","33","0"
"cache.pp","0","9","9","15","0"
"x-backup.pp","0","9","8","14","0"
"ok_manifest.pp","0","11","11","19","0"
"needs2_7_1.pp","0","2","2","4","0"
"020_icmp_types.pp","0","9","5","11","1"
"file_line.pp","0","1","4","5","0"
"file2augeas.pp","0","18","24","29","0"
"stages.pp","0","6","7","9","0"
"pclass.pp","0","6","4","5","0"
"x-debug.pp","0","19","24","30","0"
"logfile.pp","0","17","15","26","0"
"site.pp","0","13","9","12","0"
"master.pp","0","13","21","28","0"
"test-manifest.pp","0","1","4","5","0"
"example.pp","0","1","2","3","0"
"disable.pp","0","9","7","12","0"
"common.pp","0","4","1","2","0"
"nodex.pp","0","13","8","12","0"
"xclass.pp","0","4","1","2","0"
"debug.pp","0","19","24","30","0"
"repo.pp","0","6","16","19","0"
"syslog.pp","0","9","7","13","0"
"plugin.pp","0","19","17","27","0"
"021_icmp_any.pp","0","9","5","11","1"
"qclass.pp","0","18","12","16","0"
"network.pp","0","22","34","39","0"
"030_multiple_sources.pp","0","2","5","7","0"
"replacelinepm.pp","0","36","31","49","0"
"php.pp","0","5","6","8","0"
"dev.pp","0","10","7","10","0"
"init.pp","0","7","17","20","0"
"netinstall.pp","0","33","36","43","0"
"x-conf.pp","0","10","11","17","0"
"050_sport_and_dport.pp","0","4","4","7","0"
"ssl.pp","0","16","17","25","0"
"040_state_types.pp","0","2","5","7","0"
"replace.pp","0","15","19","24","0"
