"Model name","EStructuralFeature count","EENum count","EClass count","EDataType count","EMFCompare matchCount","Diagnostic count"
"working_copy_init.pp","6","0","1","5","6","0"
"link.pp","12","0","6","6","8","0"
"x-example42.pp","6","0","4","2","3","0"
"config_file.pp","25","0","11","14","14","0"
"redhat.pp","21","0","11","10","14","0"
"not ok manifest.pp","22","0","11","11","19","0"
"db.pp","28","0","13","15","14","0"
"asecondfile.pp","28","0","15","13","18","0"
"server.pp","44","0","19","25","23","0"
"bclass.pp","2","0","1","1","2","0"
"backup.pp","17","0","9","8","14","0"
"params.pp","29","0","15","14","16","0"
"beforeservice.pp","50","0","22","28","23","0"
"not_ok_manifest.pp","22","0","11","11","19","0"
"vhost.pp","38","0","20","18","22","0"
"x-absent.pp","15","0","9","6","11","0"
"use.pp","3","0","1","2","3","0"
"concatenated_file.pp","36","0","16","20","16","0"
"cclass.pp","2","0","1","1","2","0"
"monitor.pp","22","0","11","11","19","0"
"config.pp","80","0","33","47","45","0"
"firewall.pp","22","0","11","11","19","0"
"010_basic.pp","12","0","6","6","10","0"
"initdb.pp","33","0","15","18","15","0"
"disableboot.pp","14","0","9","5","10","0"
"modules_file.pp","31","0","13","18","17","0"
"libdir.pp","15","0","8","7","11","0"
"remote.pp","6","0","1","5","6","0"
"aclass.pp","10","0","4","6","7","0"
"modules_dir.pp","21","0","10","11","10","0"
"ambigA.pp","5","0","1","4","5","0"
"apache.pp","3","0","1","2","3","0"
"local.pp","6","0","1","5","6","0"
"example42.pp","6","0","4","2","3","0"
"line.pp","40","0","16","24","26","0"
"database.pp","22","0","12","10","12","0"
"client.pp","24","0","10","14","15","0"
"absent.pp","15","0","9","6","11","0"
"conf.pp","22","0","11","11","17","0"
"replaceline.pp","57","0","31","26","33","0"
"ver3_2_ok.pp","17","0","9","8","12","0"
"cache.pp","18","0","9","9","15","0"
"x-backup.pp","17","0","9","8","14","0"
"ok_manifest.pp","22","0","11","11","19","0"
"database_grant.pp","53","0","24","29","34","1"
"branch.pp","6","0","1","5","6","0"
"needs2_7_1.pp","4","0","2","2","4","0"
"role.pp","53","0","25","28","28","0"
"020_icmp_types.pp","14","0","9","5","11","1"
"file_line.pp","5","0","1","4","5","0"
"file2augeas.pp","47","0","23","24","29","0"
"stages.pp","13","0","6","7","9","0"
"pclass.pp","11","0","7","4","5","0"
"afterservice.pp","44","0","19","25","32","0"
"x-debug.pp","43","0","19","24","30","0"
"logfile.pp","34","0","19","15","26","0"
"site.pp","23","0","14","9","12","0"
"master.pp","34","0","13","21","28","0"
"test-manifest.pp","5","0","1","4","5","0"
"example.pp","3","0","1","2","3","0"
"disable.pp","16","0","9","7","12","0"
"common.pp","5","0","4","1","2","0"
"bare_init.pp","6","0","1","5","6","0"
"nodex.pp","21","0","13","8","12","0"
"xclass.pp","5","0","4","1","2","0"
"checkout.pp","6","0","1","5","6","0"
"debug.pp","43","0","19","24","30","0"
"psql.pp","35","0","18","17","16","0"
"repo.pp","22","0","6","16","19","0"
"syslog.pp","16","0","9","7","13","0"
"init_repo.pp","6","0","1","5","6","0"
"plugin.pp","37","0","20","17","27","0"
"021_icmp_any.pp","14","0","9","5","11","1"
"yum_postgresql_org.pp","49","0","28","21","37","0"
"qclass.pp","31","0","19","12","16","0"
"network.pp","61","0","27","34","39","0"
"030_multiple_sources.pp","7","0","2","5","7","0"
"replacelinepm.pp","70","0","39","31","49","0"
"php.pp","11","0","5","6","8","0"
"ver4_0_fail.pp","10","0","6","4","6","0"
"devel.pp","24","0","10","14","15","0"
"dev.pp","17","0","10","7","10","0"
"database_user.pp","39","0","17","22","19","0"
"init.pp","24","0","7","17","20","0"
"netinstall.pp","78","0","42","36","43","0"
"x-conf.pp","22","0","11","11","17","0"
"ver4_0_ok.pp","14","0","8","6","8","0"
"050_sport_and_dport.pp","8","0","4","4","7","0"
"ssl.pp","33","0","16","17","25","0"
"validate_db_connection.pp","52","0","27","25","34","0"
"040_state_types.pp","7","0","2","5","7","0"
"apt_postgresql_org.pp","48","0","21","27","29","0"
"replace.pp","37","0","18","19","24","0"
"clone.pp","6","0","1","5","6","0"
