"Model name","EENum count","EClass count","EDataType count","EMFCompare matchCount","Diagnostic count"
"Home.rim","0","68","42","32","0"
"ParserTest.rim","0","86","46","34","0"
"Notes.rim","0","59","31","24","0"
"TestDomain.rim","0","55","24","21","0"
"AirlinesNonStrictOData.rim","0","411","213","192","0"
"Airline.rim","0","1063","494","486","0"
"Common2.rim","0","16","14","10","0"
"Restbucks.rim","0","289","136","129","0"
"interaction-odata-etag.rim","0","978","466","459","0"
"Banking.rim","0","390","196","191","0"
"apiSimple.rim","0","56","35","27","0"
"Common.rim","0","16","14","10","0"
"valid.rim","0","59","31","24","0"
"MultiCompany.rim","0","1188","557","540","0"
"Dynamic.rim","0","185","100","85","0"
"AirlinesSimple.rim","0","327","178","149","0"
"Airlines.rim","0","549","295","262","0"
"TestFormat.rim","0","62","33","30","0"
"invalid.rim","0","59","31","24","3"
"Simple.rim","0","94","57","44","0"
"interaction-odata-error.rim","0","1196","610","574","0"
"interaction-odata-embedded.rim","0","975","467","459","0"
"error.rim","0","24","12","10","0"
