"Model name","EStructuralFeature count","EENum count","EClass count","EDataType count","EMFCompare matchCount","Diagnostic count"
"model-test.btdesign","128","4","16","108","10","0"
"app_duplicate_name_part.btdesign","42","2","14","26","4","0"
"model_statistics.btdesign","121","10","47","64","21","0"
"model-cargo.btdesign","1619","110","315","1194","148","0"
"operation_parameter_type_bad.btdesign","131","9","36","86","15","0"
"model-milkyway.btdesign","578","33","75","470","35","0"
"nested2.btdesign","147","8","18","121","9","0"
"nested3.btdesign","117","6","16","95","7","0"
"repository_duplicate_name.btdesign","147","8","44","95","10","0"
"model-location.btdesign","274","14","46","214","18","0"
"attributes.btdesign","184","10","23","151","8","0"
"model_core.btdesign","1533","97","267","1169","111","0"
"model-person.btdesign","662","32","90","540","60","0"
"nested4.btdesign","87","4","14","69","5","0"
"model.btdesign","6","0","3","3","2","0"
"model-core.btdesign","338","18","55","265","24","0"
"model-routing.btdesign","635","37","91","507","39","0"
"nested1.btdesign","119","6","16","97","9","0"
"operation_return_type_bad.btdesign","137","9","39","89","14","0"
"trait.btdesign","1269","81","143","1045","68","0"
"unresolved_extends_names.btdesign","83","4","24","55","6","0"
"model-relations.btdesign","1120","65","80","975","51","0"
"service_duplicate_name.btdesign","42","0","16","26","6","0"
"app_duplicate_name.btdesign","43","2","14","27","5","0"
"model-carrier.btdesign","301","17","56","228","22","0"
"domain_object_duplicate_name.btdesign","78","4","24","50","6","0"
"module_duplicate_name.btdesign","78","4","25","49","6","0"
"model-customer.btdesign","434","21","58","355","26","0"
"model-toimport.btdesign","112","4","11","97","6","0"
