"Model name","EStructuralFeature count","EENum count","EClass count","EDataType count","EMFCompare matchCount","Diagnostic count"
"tl_PH.cfg","17","0","5","12","8","0"
"07b_Pebbles_in_the_Flood.cfg","2042","0","370","1672","1120","0"
"Tusklet.cfg","334","0","79","255","157","0"
"ca_ES.cfg","17","0","5","12","8","0"
"units_offmap_goto_recall.cfg","96","0","4","92","87","0"
"conditionals.cfg","137","0","5","132","125","0"
"unit-utils.cfg","621","0","172","449","196","0"
"Flanker.cfg","355","0","71","284","188","0"
"Javelineer.cfg","277","0","61","216","140","0"
"Mage_Great.cfg","451","0","104","347","202","0"
"21_The_Plan.cfg","767","0","169","598","370","0"
"ANL_help.cfg","470","0","97","373","237","0"
"zombie-utils.cfg","1401","0","289","1112","682","0"
"Tusker.cfg","539","0","128","411","249","0"
"Dark_Mage.cfg","637","0","135","502","331","0"
"01_Overture.cfg","861","0","167","694","462","0"
"Shadow_Lord.cfg","429","0","95","334","202","0"
"scenario-high_xp_attack.cfg","762","0","115","647","481","0"
"Necro_Dark_Sorcerer.cfg","192","0","43","149","101","0"
"is_IS.cfg","21","0","6","15","10","0"
"Triton.cfg","272","0","60","212","135","0"
"protect_unit.cfg","758","0","174","584","359","0"
"Shyde.cfg","467","0","99","368","239","0"
"09_Shan_Taum_the_Smug.cfg","913","0","185","728","470","0"
"Outlaw_Ruffian.cfg","207","0","42","165","113","0"
"03_Guarded_Castle.cfg","2950","0","614","2336","1482","0"
"aspects.cfg","777","0","17","760","729","0"
"goto.cfg","2305","0","516","1789","1105","0"
"03_Bandits.cfg","762","0","174","588","335","0"
"Naga_Warden.cfg","214","0","41","173","124","0"
"Mounted_General.cfg","373","0","75","298","203","0"
"2p_Ruphus_Isle.cfg","128","0","30","98","62","0"
"2_Closing_the_Gates.cfg","2556","0","536","2020","1248","0"
"Outlaw_Thief.cfg","712","0","172","540","293","0"
"repeating_button_default.cfg","410","0","97","313","156","0"
"lua.cfg","321","0","63","258","151","0"
"04_Descending_into_Darkness.cfg","3114","0","626","2488","1623","0"
"01_Breaking_the_Chains.cfg","1366","0","310","1056","606","0"
"wml_error.cfg","367","0","91","276","156","0"
"test_return.cfg","63","0","5","58","51","0"
