"Model name","EENum count","EClass count","EDataType count","EMFCompare matchCount","Diagnostic count"
"ej2_tomyjerry.wlk","0","92","90","78","0"
"objetos_ej2_deliveryEmpanadas.wlk","0","568","424","493","0"
"asusta.wlk","0","85","73","63","0"
"pepitopackage.wlk","0","13","6","6","0"
"importingFromOtherFile.wlk","0","17","6","7","0"
"flagpackage.wlk","0","47","51","35","0"
"otherFile.wlk","0","23","6","7","0"
"ej1_pepita.wlk","0","123","118","90","0"
"typeRefinementWithObjectLiterals.wpgm","0","34","22","18","0"
"b36.wlk","0","108","78","88","0"
"objetos_ej1_pajarera.wlk","0","206","179","158","0"
"ej1_pepita.wtest","0","22","13","14","0"
"operatorOverloading.wtest","0","37","29","25","0"
"exception_program.wpgm","0","17","12","13","0"
"ej3_sueldoPepe.wlk","0","76","62","57","0"
"josepackage.wlk","0","13","6","6","0"
"ej1_piratas.wlk","0","130","102","94","0"
"piratas.wlk","0","192","181","164","0"
"exception_lib.wlk","0","6","1","2","0"
"consoleObject.wpgm","0","9","4","5","0"
"libForImports.wlk","0","31","8","9","0"
"clases_ej3_camiones.wlk","0","517","448","390","0"
"simpleInferenceAcrossVars.wlk","0","22","17","13","0"
"refinement.wpgm","0","34","22","18","0"
