"Model name","EENum count","EClass count","EDataType count","EMFCompare matchCount","Diagnostic count"
"tag.ttl","0","509","123","313","0"
"turtle-syntax-string-01.ttl","0","14","3","9","0"
"foaf.ttl","0","3007","565","1884","0"
"localName_with_assigned_nfc_PN_CHARS_BASE_character_boundaries.ttl","0","15","3","10","0"
"turtle-syntax-bad-struct-08.ttl","0","14","1","9","0"
"localNames.ttl","0","1381","333","837","2"
"IRI_subject.ttl","0","14","1","9","0"
"turtle-subm-20.ttl","0","29","8","20","0"
"turtle-subm-08.ttl","0","18","7","12","0"
"turtle-subm-09.ttl","0","16","3","10","0"
"turtle-subm-21.ttl","0","16","5","10","0"
"turtle-eval-bad-01.ttl","0","14","1","9","0"
"turtle-syntax-bad-struct-09.ttl","0","14","1","9","0"
"turtle-syntax-str-esc-01.ttl","0","14","3","9","0"
"turtle-syntax-bad-ln-escape-start.ttl","0","17","3","10","0"
"localName_with_nfc_PN_CHARS_BASE_character_boundaries.ttl","0","15","3","10","0"
"bareword_double.ttl","0","13","2","9","0"
"turtle-syntax-kw-01.ttl","0","13","2","9","0"
"default_namespace_IRI.ttl","0","15","3","10","0"
"LITERAL_LONG2_with_UTF8_boundaries.ttl","0","14","3","9","0"
"LITERAL1_with_UTF8_boundaries.ttl","0","13","1","8","1"
"turtle-syntax-string-02.ttl","0","14","3","9","0"
"literal_with_escaped_CARRIAGE_RETURN.ttl","0","13","1","8","1"
"turtle-syntax-kw-03.ttl","0","15","3","10","0"
"gr.ttl","0","67","25","51","0"
"turtle-syntax-ns-dots.ttl","0","17","3","10","0"
"turtle-syntax-str-esc-03.ttl","0","14","3","9","0"
"turtle-syntax-ln-dots.ttl","0","35","7","21","0"
"number_sign_following_PNAME_NS.ttl","0","15","3","10","0"
"literal_with_escaped_BACKSPACE.ttl","0","13","1","8","1"
"labeled_blank_node_with_leading_underscore.ttl","0","15","1","9","0"
"dcam.ttl","0","118","31","78","0"
"turtle-subm-23.ttl","0","58","6","32","0"
"turtle-eval-bad-03.ttl","0","14","1","9","0"
"labeled_blank_node_with_leading_digit.ttl","0","15","1","9","0"
"turtle-eval-bad-02.ttl","0","14","1","9","0"
"turtle-subm-22.ttl","0","22","6","15","0"
"LITERAL_LONG1_with_1_squote.ttl","0","13","1","8","1"
"turtle-syntax-str-esc-02.ttl","0","14","3","9","0"
"prefix_with_non_leading_extras.ttl","0","14","3","9","2"
"turtle-syntax-kw-02.ttl","0","13","2","9","0"
"turtle-syntax-string-03.ttl","0","14","3","9","0"
"two_LITERAL_LONG2s.ttl","0","24","8","15","0"
"IRI_with_four_digit_numeric_escape.ttl","0","14","1","9","0"
"owl.ttl","0","2509","401","1497","0"
"LITERAL_LONG1.ttl","0","13","1","8","1"
"turtle-syntax-string-07.ttl","0","14","3","9","0"
"turtle-syntax-bad-n3-extras-08.ttl","0","4","0","2","0"
"literal_with_CARRIAGE_RETURN.ttl","0","13","1","8","1"
"manifest.ttl","0","2274","304","1463","1"
"nested_blankNodePropertyLists.ttl","0","23","0","15","0"
"bareword_integer.ttl","0","13","2","9","0"
"labeled_blank_node_object.ttl","0","15","1","9","0"
"LITERAL2.ttl","0","14","3","9","0"
"turtle-syntax-datatypes-02.ttl","0","16","7","12","0"
"turtle-syntax-ln-colons.ttl","0","107","13","60","0"
"turtle-syntax-number-09.ttl","0","13","2","9","0"
"literal_with_LINE_FEED.ttl","0","13","1","8","1"
"turtle-subm-26.ttl","0","162","66","136","0"
"anonymous_blank_node_object.ttl","0","14","1","9","0"
"predicateObjectList_with_two_objectLists.ttl","0","18","1","12","0"
"turtle-subm-27.ttl","0","60","11","41","0"
"labeled_blank_node_subject.ttl","0","15","1","9","0"
"turtle-syntax-number-08.ttl","0","13","2","9","0"
"blankNodePropertyList_as_subject.ttl","0","19","0","12","0"
"sioct.ttl","0","1263","207","767","0"
"old_style_base.ttl","0","14","2","10","0"
"underscore_in_localName.ttl","0","15","3","10","0"
"turtle-syntax-file-01.ttl","0","4","0","2","0"
"turtle-syntax-bad-n3-extras-09.ttl","0","14","4","9","0"
"turtle-syntax-string-06.ttl","0","13","1","8","1"
"sd.ttl","0","950","198","575","0"
"literal_with_numeric_escape4.ttl","0","13","1","8","1"
"contact.ttl","0","15","19","17","0"
"wdrs.ttl","0","593","122","382","0"
"utf_character.ttl","0","43","7","30","0"
"LITERAL_LONG2.ttl","0","14","3","9","0"
"turtle-syntax-string-04.ttl","0","13","1","8","1"
"turtle-syntax-string-10.ttl","0","14","3","9","0"
"http.ttl","0","1499","344","1043","1"
"dcelements.ttl","0","671","174","439","0"
"turtle-syntax-file-03.ttl","0","4","0","2","0"
"literal_with_REVERSE_SOLIDUS.ttl","0","13","1","8","1"
"LITERAL1.ttl","0","13","1","8","1"
"turtle-syntax-datatypes-01.ttl","0","16","5","11","0"
"turtle-syntax-bad-ns-dot-start.ttl","0","23","4","14","1"
"turtle-subm-19.ttl","0","29","8","20","0"
"turtle-subm-25.ttl","0","17","5","11","0"
"localName_with_non_leading_extras.ttl","0","16","4","11","1"
"turtle-subm-24.ttl","0","17","3","10","0"
"turtle-eval-bad-04.ttl","0","14","1","9","0"
"turtle-subm-18.ttl","0","24","8","15","0"
"old_style_prefix.ttl","0","15","3","10","0"
"turtle-syntax-bad-ln-escape.ttl","0","17","3","10","0"
"doap.ttl","0","18","13","16","0"
"turtle-syntax-file-02.ttl","0","4","0","2","0"
"turtle-syntax-string-11.ttl","0","13","1","8","1"
"turtle-syntax-string-05.ttl","0","13","1","8","1"
"langtagged_LONG.ttl","0","14","3","9","0"
"adms.ttl","0","97","67","78","0"
"turtle-syntax-bad-uri-04.ttl","0","14","1","9","0"
"turtle-syntax-lists-01.ttl","0","16","3","10","0"
"dcterms.ttl","0","4646","945","2913","0"
"turtle-syntax-bad-string-03.ttl","0","15","3","9","1"
"turtle-syntax-bad-string-02.ttl","0","15","3","9","1"
"prefix_reassigned_and_used.ttl","0","15","5","11","0"
"turtle-syntax-bad-lang-01.ttl","0","14","3","9","0"
"IRI_with_eight_digit_numeric_escape.ttl","0","14","1","9","0"
"turtle-syntax-bad-uri-05.ttl","0","14","1","9","0"
"collection_object.ttl","0","14","2","10","0"
"literal_with_escaped_LINE_FEED.ttl","0","13","1","8","1"
"turtle-syntax-bnode-09.ttl","0","28","3","16","0"
"LITERAL2_ascii_boundaries.ttl","0","14","3","9","0"
"turtle-syntax-lists-02.ttl","0","19","6","13","0"
"lantag_with_subtag.ttl","0","14","3","9","0"
"irw.ttl","0","251","43","152","0"
"turtle-syntax-bad-num-05.ttl","0","13","2","9","0"
"percent_escaped_localName.ttl","0","15","3","10","0"
"LITERAL_LONG2_with_2_squotes.ttl","0","14","3","9","0"
"empty_collection.ttl","0","14","1","9","0"
"turtle-syntax-bad-num-04.ttl","0","13","2","9","0"
"turtle-syntax-bad-string-01.ttl","0","15","3","9","1"
"sioc.ttl","0","3320","511","1976","1"
"turtle-syntax-lists-03.ttl","0","4","2","3","0"
"muto.ttl","0","896","173","578","0"
"turtle-syntax-bnode-08.ttl","0","17","2","10","0"
"turtle-syntax-bad-LITERAL2_with_langtag_and_datatype.ttl","0","16","4","11","0"
"turtle-syntax-base-04.ttl","0","4","0","2","0"
"turtle-syntax-bad-uri-02.ttl","0","14","1","9","0"
"literal_false.ttl","0","13","2","9","0"
"repeated_semis_not_at_end.ttl","0","14","1","9","0"
"voaf.ttl","0","1385","376","912","9"
"turtle-syntax-bad-missing-ns-dot-end.ttl","0","17","1","9","0"
"turtle-eval-struct-01.ttl","0","14","1","9","0"
"positive_numeric.ttl","0","13","2","9","0"
"ntag.ttl","0","93","59","71","0"
"turtle-syntax-bad-string-05.ttl","0","16","5","10","0"
"link.ttl","0","563","122","353","4"
"skos.ttl","0","400","95","248","0"
"turtle-syntax-bad-string-04.ttl","0","16","5","10","0"
"turtle-syntax-bad-num-01.ttl","0","13","2","9","0"
"turtle-syntax-blank-label.ttl","0","35","5","20","0"
"turtle-syntax-bad-uri-03.ttl","0","14","1","9","0"
"LITERAL_LONG1_with_2_squotes.ttl","0","13","1","8","1"
"turtle-syntax-base-01.ttl","0","4","1","3","0"
"dcmitype.ttl","0","628","145","400","0"
"turtle-syntax-base-03.ttl","0","14","2","10","0"
"turtle-syntax-bad-uri-01.ttl","0","14","1","9","0"
"turtle-syntax-prefix-08.ttl","0","17","3","10","0"
"negative_numeric.ttl","0","13","2","9","0"
"prefixed_IRI_object.ttl","0","15","3","10","0"
"turtle-syntax-lists-04.ttl","0","18","2","12","0"
"turtle-eval-struct-02.ttl","0","18","1","12","0"
"turtle-syntax-bad-num-03.ttl","0","13","2","9","0"
"turtle-syntax-bad-string-06.ttl","0","16","5","10","0"
"LITERAL_LONG1_ascii_boundaries.ttl","0","13","1","8","1"
"LITERAL_LONG2_with_1_squote.ttl","0","14","3","9","0"
"turtle-syntax-bad-string-07.ttl","0","15","3","9","1"
"turtle-syntax-bad-num-02.ttl","0","13","2","9","0"
"double_lower_case_e.ttl","0","13","2","9","0"
"turtle-syntax-lists-05.ttl","0","4","2","3","0"
"turtle-syntax-prefix-09.ttl","0","17","5","11","0"
"literal_with_BACKSPACE.ttl","0","13","1","8","1"
"turtle-syntax-base-02.ttl","0","4","0","2","0"
"scot.ttl","0","1747","310","1033","1"
"turtle-syntax-bnode-03.ttl","0","22","3","13","0"
"LITERAL_LONG2_ascii_boundaries.ttl","0","14","3","9","0"
"turtle-syntax-struct-03.ttl","0","23","3","13","0"
"turtle-syntax-bad-base-01.ttl","0","4","0","2","0"
"turtle-syntax-prefix-04.ttl","0","17","3","10","0"
"turtle-syntax-bad-kw-01.ttl","0","15","3","9","1"
"localname_with_COLON.ttl","0","18","4","12","0"
"rdf.ttl","0","579","101","351","0"
"IRIREF_datatype.ttl","0","15","3","10","0"
"turtle-syntax-prefix-05.ttl","0","17","3","10","0"
"turtle-syntax-struct-02.ttl","0","23","3","13","0"
"vs.ttl","0","144","58","98","0"
"literal_with_FORM_FEED.ttl","0","13","1","8","1"
"turtle-syntax-bnode-02.ttl","0","16","3","10","0"
"xsd.ttl","0","940","220","602","0"
"lvont.ttl","0","607","140","407","3"
"turtle-syntax-bad-missing-ns-dot-start.ttl","0","4","0","2","0"
"schema.ttl","0","17705","2974","10366","1"
"SPARQL_style_prefix.ttl","0","4","0","2","0"
"LITERAL1_all_punctuation.ttl","0","13","1","8","1"
"turtle-syntax-prefix-07.ttl","0","17","3","10","0"
"turtle-syntax-bad-base-02.ttl","0","4","0","2","0"
"turtle-syntax-bad-kw-02.ttl","0","15","3","9","1"
"geo.ttl","0","159","44","110","3"
"turtle-syntax-bad-blank-label-dot-end.ttl","0","18","4","11","1"
"localName_with_leading_digit.ttl","0","15","3","10","0"
"LITERAL1_all_controls.ttl","0","13","1","8","1"
"SPARQL_style_base.ttl","0","4","0","2","0"
"turtle-syntax-bad-kw-03.ttl","0","15","3","9","1"
"turtle-syntax-prefix-06.ttl","0","38","8","23","0"
"turtle-syntax-bad-base-03.ttl","0","4","0","2","0"
"turtle-syntax-struct-01.ttl","0","19","3","11","0"
"blankNodePropertyList_with_multiple_triples.ttl","0","23","0","15","0"
"turtle-syntax-bnode-01.ttl","0","17","2","10","0"
"localName_with_assigned_nfc_bmp_PN_CHARS_BASE_character_boundaries.ttl","0","15","3","10","0"
"turtle-syntax-bnode-05.ttl","0","29","2","16","0"
"turtle-syntax-struct-05.ttl","0","23","3","13","0"
"turtle-syntax-pname-esc-01.ttl","0","17","3","10","0"
"turtle-syntax-prefix-02.ttl","0","14","1","8","1"
"missing.ttl","0","42","14","28","0"
"turtle-syntax-bad-pname-02.ttl","0","17","3","10","0"
"first.ttl","0","15","3","12","0"
"anonymous_blank_node_subject.ttl","0","15","0","9","0"
"literal_with_escaped_CHARACTER_TABULATION.ttl","0","13","1","8","1"
"repeated_semis_at_end.ttl","0","18","1","12","0"
"bareword_a_predicate.ttl","0","13","1","9","0"
"turtle-syntax-bad-pname-03.ttl","0","18","4","11","1"
"annotea.ttl","0","129","42","93","0"
"labeled_blank_node_with_PN_CHARS_BASE_character_boundaries.ttl","0","15","1","9","0"
